protein1,protein2,interaction
645,1089,0
235,235,0
235,1471,0
235,41,0
235,502,0
235,881,0
235,1549,0
235,51,0
235,582,0
1315,745,0
650,1107,0
650,1317,0
650,1321,0
650,83,0
650,1338,0
650,497,0
650,849,0
650,183,0
650,1045,0
650,1248,0
650,1271,0
650,954,0
651,651,0
250,582,0
1470,467,0
1470,1470,0
1470,326,0
1470,582,0
1470,1300,0
652,274,0
652,1385,0
652,633,0
652,1556,0
652,487,0
652,1089,0
652,36,0
652,1338,0
652,1200,0
652,1220,0
652,1424,0
652,115,0
652,899,0
652,1045,0
652,934,0
652,582,0
652,1288,0
652,1538,0
652,1086,0
654,418,0
654,1161,0
654,740,0
654,745,0
654,1489,0
654,1416,0
654,788,0
654,458,0
654,1429,0
654,1043,0
654,1261,0
654,1566,0
654,1289,0
654,385,0
654,1375,0
654,1086,0
477,203,0
477,334,0
1118,1460,0
1118,720,0
1118,745,0
1118,2,0
1118,1499,0
1118,10,0
1118,133,0
1118,79,0
1118,1289,0
1118,385,0
479,1306,0
479,1151,0
479,845,0
479,367,0
660,274,0
660,1552,0
660,1289,0
1317,1317,0
1317,1338,0
1317,458,0
1317,1220,0
1317,20,0
1317,247,0
664,1394,0
664,664,0
664,582,0
664,219,0
664,381,0
9,610,0
9,1317,0
9,1323,0
9,362,0
9,334,0
9,582,0
671,1319,0
672,244,0
672,830,0
672,1566,0
113,114,0
113,1121,0
113,677,0
113,362,0
113,1004,0
113,1361,0
113,582,0
161,1460,0
161,1306,0
161,610,0
161,613,0
161,428,0
161,1311,0
161,95,0
161,124,0
161,197,0
161,418,0
161,156,0
161,305,0
161,1134,0
161,1328,0
161,396,0
161,1164,0
161,1171,0
161,745,0
161,244,0
161,1174,0
161,1016,0
161,168,0
161,304,0
161,158,0
161,1342,0
161,498,0
161,413,0
161,1199,0
161,2,0
161,380,0
161,50,0
161,425,0
161,1346,0
161,300,0
161,41,0
161,1505,0
161,859,0
161,1353,0
161,1077,0
161,25,0
161,911,0
161,393,0
161,1531,0
161,1261,0
161,133,0
161,79,0
161,1452,0
161,434,0
161,960,0
161,219,0
677,379,0
677,676,0
1062,260,0
1062,428,0
1062,1110,0
1062,1115,0
1062,1561,0
1062,1474,0
1062,575,0
1062,37,0
1062,738,0
1062,1488,0
1062,1174,0
1062,455,0
1062,496,0
1062,1220,0
1062,152,0
1062,283,0
1062,1518,0
1062,900,0
1062,903,0
1062,393,0
1062,927,0
1062,1366,0
1062,385,0
678,45,0
678,1461,0
678,648,0
678,678,0
678,1341,0
678,786,0
678,457,0
678,93,0
678,1516,0
678,262,0
678,1549,0
678,1261,0
678,78,0
1129,1129,0
1129,693,0
1129,120,0
685,157,0
685,1001,0
685,1032,0
685,348,0
685,246,0
685,569,0
1400,1460,0
1400,1317,0
1400,1400,0
1400,1089,0
1400,1156,0
1400,747,0
1400,1338,0
1400,118,0
1400,1350,0
67,482,0
67,67,0
1323,1458,0
1323,1311,0
1323,151,0
1323,429,0
1323,235,0
1323,480,0
1323,362,0
1323,720,0
1323,1421,0
1323,582,0
1564,1187,0
688,36,0
387,772,0
387,1530,0
387,1276,0
1133,1385,0
1133,1480,0
362,362,0
362,244,0
362,183,0
362,524,0
399,443,0
399,99,0
399,515,0
399,1537,0
1135,1233,0
1135,1549,0
695,993,0
695,1406,0
695,1429,0
695,925,0
695,1071,0
695,84,0
696,198,0
696,696,0
696,1030,0
1138,1395,0
1138,455,0
1138,1566,0
1138,582,0
1139,36,0
1139,455,0
701,46,0
701,449,0
701,300,0
701,458,0
701,1429,0
701,385,0
707,481,0
707,1137,0
1005,80,0
1005,626,0
1005,1121,0
1005,455,0
1005,440,0
1005,582,0
1005,295,0
1145,418,0
1145,1474,0
1145,1137,0
1145,1403,0
1145,240,0
1145,1180,0
1145,496,0
1145,1065,0
1145,2,0
1145,848,0
1145,1427,0
1145,1513,0
1145,1531,0
1145,32,0
1145,1453,0
1145,385,0
718,1311,0
718,718,0
718,582,0
489,457,0
489,92,0
490,36,0
727,1466,0
727,582,0
727,1289,0
63,482,0
63,63,0
176,582,0
176,974,0
176,1297,0
1553,387,0
1553,729,0
1553,1553,0
1553,301,0
1553,582,0
1553,578,0
1553,953,0
36,1396,0
36,109,0
36,1340,0
36,142,0
1063,1063,0
1170,739,0
1170,1338,0
1170,17,0
743,985,0
743,599,0
743,743,0
743,112,0
743,212,0
743,524,0
109,1195,0
109,899,0
109,934,0
109,582,0
1172,1277,0
746,472,0
746,1336,0
746,1174,0
746,41,0
749,749,0
188,582,0
244,747,0
244,1338,0
244,1030,0
1559,1559,0
760,274,0
760,658,0
760,1321,0
760,1353,0
760,390,0
760,405,0
127,1470,0
127,127,0
127,1509,0
127,582,0
342,1140,0
342,745,0
342,747,0
342,1214,0
342,390,0
340,340,0
340,58,0
764,188,0
764,116,0
764,524,0
764,339,0
766,1458,0
766,1030,0
1340,633,0
1340,1340,0
1340,455,0
1340,1197,0
1340,501,0
1340,1423,0
1340,54,0
1340,388,0
1340,29,0
1340,1446,0
1340,1288,0
1340,1538,0
1340,1291,0
1340,966,0
377,378,0
377,78,0
378,218,0
378,1167,0
378,458,0
773,274,0
773,1382,0
773,1409,0
773,1412,0
773,772,0
773,819,0
773,1077,0
773,20,0
773,12,0
773,1545,0
455,1116,0
455,32,0
455,219,0
780,625,0
780,218,0
780,1121,0
780,418,0
780,340,0
780,346,0
780,496,0
780,1028,0
780,1346,0
780,514,0
780,84,0
780,1289,0
780,385,0
346,428,0
346,1317,0
346,1089,0
346,1156,0
346,491,0
346,346,0
346,846,0
346,262,0
346,384,0
346,104,0
1191,587,0
1191,1564,0
1191,709,0
1191,1089,0
1191,36,0
1191,244,0
1191,1416,0
1191,1340,0
1191,1026,0
1191,876,0
1191,1045,0
1191,438,0
1191,277,0
1498,1382,0
1498,610,0
1498,1341,0
1498,496,0
1498,1498,0
1195,589,0
1195,1458,0
1195,110,0
1195,218,0
1195,1009,0
1195,432,0
1195,117,0
1195,162,0
1195,1261,0
1195,954,0
1195,1286,0
1195,295,0
1023,658,0
1023,1149,0
1023,1416,0
1023,582,0
793,792,0
793,1512,0
1199,1458,0
1199,1460,0
1199,648,0
1199,480,0
1199,1131,0
1199,244,0
1199,1180,0
1199,455,0
1199,1199,0
1199,1499,0
1199,1036,0
1199,145,0
1199,1261,0
1199,247,0
1199,582,0
349,453,0
349,1121,0
349,1367,0
349,582,0
171,1317,0
171,458,0
171,930,0
225,225,0
226,699,0
226,1340,0
226,226,0
226,1202,0
226,1221,0
226,1441,0
226,82,0
1202,625,0
1202,385,0
1025,1107,0
1025,1549,0
1501,1153,0
457,455,0
457,457,0
457,456,0
457,582,0
76,1565,0
76,76,0
499,610,0
499,282,0
499,1128,0
499,575,0
499,41,0
499,1424,0
499,1512,0
499,576,0
499,582,0
812,455,0
812,1028,0
1029,582,0
814,1460,0
814,1306,0
814,80,0
814,428,0
814,379,0
814,218,0
814,144,0
814,87,0
814,1479,0
814,686,0
814,406,0
814,1005,0
814,714,0
814,396,0
814,149,0
814,1163,0
814,1333,0
814,11,0
814,740,0
814,1337,0
814,194,0
814,244,0
814,1342,0
814,498,0
814,848,0
814,1077,0
814,115,0
814,183,0
814,129,0
814,283,0
814,103,0
814,25,0
814,1436,0
814,12,0
814,79,0
814,51,0
814,207,0
814,296,0
814,1276,0
814,434,0
814,1289,0
814,962,0
814,1562,0
1030,1487,0
1030,170,0
1030,202,0
820,350,0
820,1398,0
820,179,0
820,1044,0
112,1321,0
112,575,0
112,1498,0
112,1045,0
112,1048,0
42,822,0
824,274,0
824,1458,0
824,1306,0
824,428,0
824,1110,0
824,1115,0
824,1120,0
824,418,0
824,198,0
824,15,0
824,1402,0
824,1403,0
824,738,0
824,1174,0
824,757,0
824,21,0
824,1490,0
824,774,0
824,1495,0
824,1189,0
824,457,0
824,1509,0
824,514,0
824,344,0
824,1261,0
824,12,0
824,51,0
824,207,0
824,403,0
824,526,0
824,385,0
824,94,0
458,1326,0
458,1338,0
458,774,0
458,458,0
458,1045,0
458,82,0
458,1283,0
828,1030,0
830,581,0
830,829,0
830,830,0
830,582,0
1032,1404,0
1032,78,0
832,1554,0
832,458,0
832,582,0
834,1168,0
834,1487,0
834,859,0
834,115,0
834,1042,0
834,393,0
834,351,0
834,1361,0
834,1293,0
834,1297,0
141,141,0
141,582,0
504,985,0
504,596,0
504,410,0
504,218,0
504,648,0
504,1121,0
504,1156,0
504,39,0
504,1338,0
504,1199,0
504,443,0
504,180,0
504,1549,0
504,1436,0
504,344,0
1066,449,0
1066,1156,0
1066,1417,0
842,80,0
842,655,0
842,15,0
842,159,0
842,455,0
842,1208,0
506,1458,0
506,235,0
506,1341,0
506,506,0
506,334,0
506,77,0
843,1461,0
843,428,0
843,1333,0
843,244,0
843,1509,0
843,92,0
843,1366,0
1222,589,0
1222,428,0
1222,124,0
1222,993,0
1222,691,0
1222,826,0
1222,1513,0
1222,1549,0
1222,1280,0
845,428,0
845,582,0
845,578,0
1508,1560,0
1508,714,0
846,1129,0
846,1153,0
846,739,0
846,826,0
846,522,0
846,1282,0
1067,589,0
1067,350,0
1067,174,0
1067,1392,0
1067,480,0
1067,1135,0
1067,581,0
1067,1147,0
1067,1156,0
1067,1161,0
1067,395,0
1067,244,0
1067,1416,0
1067,788,0
1067,859,0
1067,1429,0
1067,1512,0
1067,1513,0
1067,1047,0
1067,1261,0
1067,207,0
1067,582,0
1067,1537,0
128,132,0
128,263,0
132,1226,0
132,132,0
132,437,0
854,466,0
854,428,0
854,198,0
854,17,0
854,1497,0
854,834,0
854,1436,0
854,926,0
854,927,0
854,265,0
1427,582,0
1428,1428,0
1428,582,0
865,1396,0
865,36,0
865,1487,0
865,1340,0
865,1453,0
865,1563,0
865,1293,0
1513,1064,0
1513,1513,0
1513,456,0
1068,397,0
1068,1420,0
1068,891,0
1068,326,0
871,1564,0
871,1412,0
871,1565,0
871,1236,0
871,385,0
5,113,0
5,788,0
5,92,0
512,470,0
512,404,0
512,189,0
512,1150,0
512,740,0
512,1076,0
512,788,0
512,498,0
512,1512,0
512,354,0
512,312,0
512,1283,0
512,13,0
183,1549,0
874,1001,0
874,385,0
879,837,0
47,1480,0
54,1305,0
54,1461,0
54,648,0
54,1118,0
54,455,0
54,1499,0
54,1028,0
54,1361,0
54,582,0
54,524,0
55,491,0
55,849,0
55,310,0
55,582,0
880,482,0
880,1337,0
880,437,0
880,326,0
880,1535,0
880,962,0
880,279,0
881,1458,0
881,1120,0
881,993,0
881,408,0
881,1004,0
881,1195,0
881,1207,0
881,1087,0
881,444,0
253,993,0
253,1285,0
1234,1379,0
1234,1121,0
1234,582,0
0,648,0
0,1164,0
0,1199,0
456,1565,0
456,455,0
456,41,0
1521,76,0
896,404,0
896,1317,0
896,193,0
896,301,0
896,244,0
896,1017,0
896,1494,0
896,455,0
896,270,0
898,953,0
276,276,0
276,1446,0
276,582,0
276,973,0
902,1156,0
902,743,0
902,1338,0
902,230,0
902,1562,0
370,582,0
370,255,0
1549,350,0
1549,49,0
1549,655,0
1549,1473,0
1549,1400,0
1549,1005,0
1549,455,0
1549,1199,0
1549,71,0
1549,1036,0
1549,1068,0
1549,456,0
1549,1043,0
1549,1549,0
1549,280,0
1549,1261,0
1549,1367,0
1549,578,0
1549,219,0
307,1077,0
307,337,0
308,275,0
1070,223,0
1070,338,0
1070,1076,0
1070,1199,0
1070,582,0
1359,1121,0
1359,799,0
1359,31,0
1359,582,0
1359,1537,0
909,909,0
1256,517,0
911,48,0
911,482,0
911,203,0
911,433,0
911,1552,0
10,1416,0
10,10,0
10,13,0
360,209,0
390,1342,0
390,230,0
390,1512,0
390,295,0
369,272,0
369,1124,0
369,1402,0
369,394,0
369,117,0
369,360,0
369,82,0
383,1487,0
383,1340,0
383,1424,0
383,54,0
383,253,0
383,456,0
383,1265,0
383,381,0
914,260,0
914,985,0
914,48,0
914,1458,0
914,1111,0
914,648,0
914,1115,0
914,1122,0
914,1321,0
914,87,0
914,1134,0
914,1411,0
914,81,0
914,397,0
914,455,0
914,2,0
914,1499,0
914,138,0
914,1030,0
914,1036,0
914,1509,0
914,1437,0
914,914,0
914,12,0
914,1059,0
914,578,0
914,403,0
914,524,0
1263,648,0
1263,192,0
1263,1027,0
1263,840,0
1263,1241,0
1263,1358,0
1263,207,0
922,1121,0
922,918,0
922,582,0
922,1562,0
348,1549,0
182,274,0
182,1121,0
182,1004,0
182,1153,0
182,1156,0
182,772,0
182,455,0
182,116,0
182,458,0
182,1222,0
182,207,0
182,1368,0
311,589,0
311,455,0
311,458,0
311,582,0
312,372,0
312,661,0
312,1136,0
312,455,0
312,326,0
312,582,0
312,524,0
312,295,0
923,983,0
923,21,0
923,13,0
924,46,0
928,1446,0
928,582,0
252,182,0
252,252,0
252,582,0
252,295,0
936,985,0
936,404,0
936,478,0
936,1321,0
936,455,0
936,1347,0
936,1044,0
936,1069,0
936,40,0
936,1048,0
936,1059,0
940,989,0
940,990,0
940,95,0
940,113,0
940,1127,0
940,1156,0
940,1194,0
940,806,0
940,230,0
940,1509,0
940,1042,0
940,1047,0
940,207,0
940,1287,0
940,385,0
941,115,0
1277,1000,0
1277,244,0
1277,1417,0
1277,247,0
578,181,0
578,1458,0
578,1127,0
578,1481,0
578,158,0
578,806,0
578,1264,0
578,578,0
578,403,0
578,1294,0
946,1512,0
946,582,0
946,946,0
947,985,0
947,599,0
947,642,0
947,418,0
947,1153,0
947,1416,0
947,1043,0
521,773,0
521,1199,0
521,1512,0
521,1549,0
521,1358,0
521,1371,0
521,77,0
172,985,0
172,428,0
172,1113,0
172,1317,0
172,1321,0
172,686,0
172,1026,0
172,1347,0
172,1217,0
172,506,0
172,890,0
172,1045,0
172,1048,0
172,1059,0
391,46,0
391,350,0
391,1385,0
391,1480,0
391,1404,0
391,1416,0
391,498,0
391,576,0
391,79,0
391,962,0
343,61,0
525,81,0
525,1429,0
525,79,0
1283,350,0
1283,379,0
1283,1315,0
1283,681,0
1283,722,0
1283,1338,0
1283,1192,0
1283,230,0
1283,1045,0
1283,1549,0
1283,1050,0
1283,1283,0
1283,966,0
1537,1537,0
98,1060,0
98,97,0
98,714,0
98,722,0
98,1180,0
98,498,0
98,889,0
1289,256,0
1289,1127,0
1289,1164,0
1289,455,0
1289,171,0
1289,1207,0
1289,1030,0
1289,1289,0
1551,1466,0
1551,1127,0
1551,1406,0
1551,1337,0
1551,115,0
1551,1263,0
1551,424,0
962,1458,0
962,1380,0
962,1072,0
962,428,0
962,418,0
962,1001,0
962,159,0
962,1017,0
962,1207,0
962,1226,0
962,1038,0
962,1513,0
962,262,0
962,1549,0
962,1566,0
962,578,0
962,424,0
322,227,0
969,428,0
969,455,0
969,879,0
969,1289,0
77,909,0
424,46,0
424,1458,0
424,1127,0
424,1324,0
424,399,0
424,506,0
424,524,0
974,350,0
974,244,0
974,1416,0
974,1016,0
974,455,0
974,116,0
974,76,0
974,1207,0
974,456,0
974,74,0
974,390,0
974,133,0
974,524,0
974,1289,0
974,219,0
975,1317,0
975,109,0
975,747,0
975,1338,0
975,1192,0
975,1533,0
975,524,0
975,975,0
1376,46,0
1376,1460,0
1376,1074,0
1376,428,0
1376,990,0
1376,379,0
1376,1311,0
1376,203,0
1376,305,0
1376,1564,0
1376,693,0
1376,714,0
1376,575,0
1376,1336,0
1376,1173,0
1376,81,0
1376,244,0
1376,1016,0
1376,17,0
1376,1017,0
1376,304,0
1376,778,0
1376,798,0
1376,425,0
1376,810,0
1376,300,0
1376,1505,0
1376,1353,0
1376,115,0
1376,1232,0
1376,576,0
1376,894,0
1376,1046,0
1376,903,0
1376,911,0
1376,1531,0
1376,1261,0
1376,133,0
1376,296,0
1376,1452,0
1376,434,0
1376,1071,0
1376,84,0
1376,1285,0
1376,960,0
1376,1289,0
1376,962,0
444,206,0
444,1233,0
979,599,0
979,1025,0
563,191,1
1118,728,1
1374,602,1
504,998,1
906,727,1
799,1075,1
1391,728,1
454,1064,1
1284,688,1
1347,1195,1
706,349,1
139,157,1
787,1459,1
280,324,1
1045,1211,1
728,51,1
1068,465,1
244,243,1
1098,772,1
1384,936,1
525,299,1
1353,690,1
87,1073,1
21,523,1
222,1562,1
979,81,1
1398,388,1
1305,996,1
331,1260,1
286,120,1
1054,1493,1
1324,139,1
873,0,1
1189,893,1
299,1367,1
837,1139,1
19,652,1
1494,853,1
135,388,1
128,356,1
1065,1106,1
1451,1281,1
571,1002,1
899,297,1
890,703,1
757,72,1
1541,928,1
1556,239,1
502,72,1
130,787,1
889,242,1
883,187,1
405,670,1
618,539,1
1267,853,1
1158,975,1
1031,1084,1
1189,979,1
150,1249,1
881,492,1
1474,1179,1
1005,1258,1
458,494,1
622,1173,1
227,403,1
791,870,1
102,1148,1
971,564,1
1037,1167,1
643,506,1
1381,1468,1
927,183,1
129,679,1
1365,1059,1
1167,586,1
1264,290,1
901,239,1
175,1211,1
953,422,1
467,107,1
341,512,1
215,837,1
1519,1183,1
456,485,1
357,1463,1
911,628,1
1085,408,1
1233,819,1
207,319,1
1543,8,1
1530,864,1
885,1105,1
1351,577,1
1365,1139,1
638,683,1
425,62,1
1234,1443,1
1061,787,1
1396,959,1
389,346,1
1090,669,1
1540,433,1
287,1062,1
1183,1463,1
755,1276,1
735,214,1
1250,1532,1
332,740,1
959,725,1
523,1104,1
454,901,1
349,932,1
617,323,1
1413,82,1
88,692,1
919,722,1
264,419,1
1208,473,1
1019,760,1
181,759,1
1010,179,1
1378,1218,1
1525,211,1
1336,634,1
99,9,1
1466,1131,1
1126,750,1
1225,571,1
223,735,1
653,159,1
904,787,1
1420,268,1
1098,856,1
145,459,1
1270,1362,1
922,656,1
304,141,1
1154,501,1
316,1276,1
1244,442,1
264,458,1
1529,199,1
727,16,1
813,162,1
1475,965,1
696,1078,1
927,1388,1
10,631,1
532,697,1
529,129,1
210,1176,1
1114,1023,1
798,45,1
1263,217,1
1112,287,1
1272,1449,1
1510,127,1
224,756,1
1215,203,1
332,1358,1
794,1227,1
535,676,1
47,456,1
635,153,1
206,712,1
285,113,1
1326,511,1
634,604,1
439,1465,1
262,596,1
635,898,1
785,374,1
226,808,1
1350,459,1
1329,717,1
1246,366,1
1182,48,1
1287,288,1
797,1493,1
845,1264,1
1353,1142,1
479,667,1
1055,1543,1
1164,1165,1
1390,1237,1
782,271,1
310,103,1
303,1402,1
839,1411,1
1403,397,1
157,749,1
209,1439,1
355,1332,1
35,1518,1
1425,1382,1
1505,705,1
567,158,1
1541,1243,1
347,196,1
302,75,1
1163,988,1
800,717,1
774,69,1
1258,20,1
473,770,1
1448,1476,1
412,1139,1
988,1227,1
231,614,1
516,224,1
1082,1374,1
1346,106,1
1442,1526,1
869,969,1
1008,1208,1
1099,603,1
819,1234,1
564,522,1
855,1234,1
1467,347,1
302,720,1
209,908,1
671,1569,1
134,793,1
658,810,1
619,1207,1
1558,326,1
977,1448,1
1106,788,1
402,388,1
812,135,1
791,1007,1
573,1361,1
364,1369,1
1261,179,1
1051,1176,1
1235,460,1
605,28,1
21,418,1
893,61,1
499,999,1
1458,1265,1
83,1396,1
536,1386,1
526,1238,1
1471,646,1
1452,503,1
1259,387,1
1440,1069,1
1198,1068,1
107,1202,1
343,1278,1
276,176,1
65,359,1
104,1316,1
457,740,1
713,1109,1
488,430,1
1352,36,1
900,1056,1
1436,1215,1
1390,1347,1
426,1526,1
758,1129,1
333,74,1
1235,561,1
1348,2,1
84,1125,1
519,1491,1
622,1432,1
1362,645,1
5,1198,1
1430,230,1
557,380,1
991,759,1
1102,583,1
1128,1102,1
1414,430,1
709,964,1
871,1344,1
347,1099,1
955,539,1
688,124,1
235,961,1
1054,1484,1
437,946,1
313,247,1
746,21,1
1216,1105,1
1098,251,1
1350,1331,1
542,784,1
1420,450,1
46,54,1
198,508,1
1412,210,1
1248,118,1
868,1512,1
55,371,1
1445,566,1
1066,1251,1
299,798,1
86,648,1
955,220,1
1160,319,1
1161,1492,1
1229,757,1
1094,1078,1
296,1530,1
51,1306,1
1286,1191,1
619,1066,1
1506,260,1
793,969,1
415,1563,1
71,948,1
350,1464,1
59,1385,1
788,1047,1
182,1019,1
1015,653,1
167,1523,1
4,313,1
1499,1312,1
373,737,1
80,1460,1
1227,662,1
756,479,1
1340,334,1
1232,1207,1
1499,149,1
46,388,1
524,884,1
765,1215,1
1184,526,1
42,1384,1
422,677,1
931,121,1
1138,229,1
195,175,1
335,791,1
1272,552,1
651,872,1
1263,1408,1
1468,911,1
384,976,1
832,954,1
1287,1071,1
1439,38,1
1368,299,1
318,933,1
1358,670,1
330,155,1
980,1532,1
360,1434,1
641,1363,1
1054,292,1
280,91,1
1215,1382,1
1248,1170,1
328,1117,1
262,768,1
371,46,1
77,901,1
488,394,1
1115,1125,1
590,1276,1
193,1459,1
909,156,1
1243,1264,1
1125,198,1
377,787,1
1212,691,1
0,893,1
850,845,1
1257,1275,1
1402,662,1
1214,217,1
1555,1083,1
135,289,1
1171,908,1
348,293,1
795,1123,1
148,66,1
74,1211,1
181,402,1
1443,1400,1
847,138,1
145,1098,1
1109,224,1
1251,954,1
116,556,1
735,360,1
959,1387,1
92,516,1
1394,1274,1
803,1565,1
1544,360,1
429,841,1
229,697,1
910,1169,1
341,906,1
846,1245,1
1197,1167,1
1491,25,1
13,1393,1
1075,599,1
726,479,1
105,749,1
1260,793,1
1291,730,1
489,816,1
1106,179,1
1365,307,1
216,182,1
128,1251,1
267,153,1
1419,821,1
660,1322,1
421,561,1
1303,1385,1
640,13,1
1535,692,1
1259,647,1
104,1480,1
1448,802,1
435,122,1
1203,1141,1
579,954,1
454,967,1
676,97,1
1450,1547,1
942,1333,1
494,321,1
980,299,1
662,820,1
772,1081,1
546,1040,1
210,1108,1
614,371,1
701,1122,1
1311,1522,1
767,1471,1
176,1137,1
519,65,1
1387,739,1
622,611,1
897,767,1
338,647,1
834,880,1
391,15,1
1122,642,1
1314,1003,1
777,1280,1
1339,862,1
379,812,1
1063,20,1
873,314,1
86,1346,1
1234,1134,1
291,965,1
466,960,1
1090,10,1
1425,977,1
1537,1437,1
75,755,1
36,1203,1
119,1476,1
777,539,1
1063,934,1
901,1558,1
264,415,1
1416,1096,1
208,19,1
343,576,1
778,1485,1
253,1493,1
494,324,1
837,1086,1
677,581,1
153,785,1
159,1231,1
1335,1069,1
1125,105,1
735,538,1
753,139,1
485,1481,1
86,962,1
139,302,1
864,1097,1
541,189,1
844,1525,1
1076,912,1
1520,839,1
1377,505,1
204,1462,1
96,960,1
142,114,1
1525,1022,1
1135,938,1
1072,1159,1
367,99,1
1406,1440,1
1568,874,1
1453,1531,1
1059,48,1
1230,841,1
725,1052,1
156,1419,1
231,451,1
490,998,1
357,636,1
1367,813,1
590,1312,1
1046,1511,1
1034,796,1
350,1547,1
254,976,1
1355,697,1
1543,939,1
1150,1051,1
145,976,1
1449,915,1
1305,1065,1
1180,612,1
258,1448,1
465,531,1
1068,725,1
751,333,1
280,650,1
653,1556,1
1140,1196,1
417,842,1
632,1292,1
963,366,1
962,704,1
34,1101,1
120,204,1
392,434,1
392,516,1
1388,761,1
1508,1355,1
701,607,1
677,1070,1
268,315,1
840,799,1
246,1076,1
1346,447,1
269,1154,1
1318,484,1
1200,906,1
330,124,1
786,956,1
340,1361,1
680,716,1
816,698,1
1380,474,1
647,1407,1
658,1412,1
803,325,1
144,485,1
1162,459,1
608,1432,1
255,1409,1
820,957,1
1322,43,1
1179,27,1
1213,1375,1
441,100,1
1062,683,1
387,976,1
206,725,1
205,231,1
1111,315,1
1220,599,1
1501,596,1
1302,805,1
275,329,1
398,99,1
1081,704,1
846,676,1
1387,1186,1
505,112,1
942,474,1
1187,1169,1
1518,1236,1
410,1518,1
362,1222,1
83,114,1
1082,375,1
1503,253,1
1255,823,1
670,1374,1
699,926,1
722,877,1
908,588,1
582,34,1
811,89,1
634,1513,1
325,1526,1
14,118,1
291,1338,1
1101,1495,1
974,96,1
147,1148,1
610,193,1
300,1044,1
532,706,1
661,470,1
1242,219,1
1203,1415,1
292,1379,1
1429,469,1
615,43,1
1297,1126,1
823,1009,1
1297,141,1
1452,149,1
1217,1154,1
99,129,1
260,15,1
158,1546,1
788,503,1
1460,1568,1
766,1056,1
514,1048,1
404,754,1
